Similarity	Label
0.392	shot
0.818	noshot
0.204	shot
0.858	noshot
0.652	noshot
0.693	shot
0.717	noshot
0.688	noshot
0.719	noshot
0.772	noshot
0.631	noshot
0.822	noshot
0.732	noshot
0.402	noshot
0.945	noshot
0.927	noshot
0.959	noshot
0.384	shot
0.955	noshot
0.720	noshot
0.902	noshot
0.635	noshot
0.336	shot
0.620	shot
0.586	noshot
0.316	shot
0.987	noshot
0.794	shot
0.695	shot
0.822	noshot
0.069	shot
0.773	noshot
0.896	noshot
0.780	noshot
0.650	noshot
0.671	shot
0.198	shot
0.903	noshot
0.722	noshot
0.150	shot
0.717	noshot
0.314	shot
0.000	shot
0.946	noshot
0.767	shot
0.000	shot
0.762	noshot
0.930	noshot
0.685	shot
0.602	noshot
0.838	noshot
0.843	noshot
0.419	shot
0.866	noshot
0.599	shot
0.210	shot
0.844	noshot
0.832	noshot
0.546	noshot
0.538	shot
0.575	shot
0.905	noshot
0.309	shot
0.861	noshot
0.031	shot
0.753	noshot
0.754	noshot
0.934	noshot
0.734	noshot
0.682	noshot
0.659	noshot
0.867	noshot
0.251	shot
0.233	shot
0.214	shot
0.010	shot
0.653	noshot
0.513	noshot
0.236	shot
0.159	shot
0.603	noshot
0.783	noshot
0.668	noshot
0.663	noshot
0.872	noshot
0.872	noshot
0.532	noshot
0.924	noshot
0.786	noshot
0.716	noshot
0.781	noshot
0.345	shot
0.827	noshot
0.627	noshot
0.265	shot
0.835	noshot
0.581	noshot
0.891	noshot
0.876	noshot
0.757	noshot
0.618	noshot
0.615	shot
0.863	noshot
0.719	noshot
0.605	noshot
0.638	noshot
0.823	noshot
0.660	noshot
0.710	noshot
0.788	noshot
0.676	noshot
0.973	noshot
0.000	shot
0.640	noshot
0.973	noshot
0.913	noshot
0.679	noshot
0.216	shot
0.765	noshot
0.456	noshot
0.763	noshot
0.717	noshot
0.482	noshot
0.358	shot
0.811	noshot
0.469	shot
0.565	shot
0.858	noshot
0.491	shot
0.814	noshot
0.769	noshot
0.849	noshot
0.726	noshot
0.702	noshot
0.439	noshot
0.877	noshot
0.813	noshot
0.782	noshot
0.603	noshot
0.934	noshot
0.849	shot
0.000	shot
0.741	noshot
0.957	noshot
0.345	shot
0.509	shot
0.453	shot
0.347	shot
0.836	noshot
0.880	noshot
0.584	shot
0.899	noshot
0.389	shot
0.723	noshot
0.850	noshot
0.632	noshot
0.040	shot
0.943	noshot
0.825	noshot
0.239	shot
0.700	noshot
0.878	noshot
0.741	noshot
0.778	noshot
0.495	shot
0.696	noshot
0.123	shot
0.770	noshot
0.635	noshot
0.884	noshot
0.845	noshot
0.722	noshot
0.754	noshot
0.643	noshot
0.875	noshot
0.828	noshot
0.522	noshot
0.954	noshot
0.917	noshot
0.337	shot
0.549	shot
0.636	noshot
0.943	noshot
0.838	noshot
0.315	shot
0.107	shot
0.864	noshot
0.809	noshot
0.796	noshot
0.591	noshot
0.598	shot
0.713	noshot
0.214	shot
0.952	noshot
0.997	noshot
0.210	shot
0.864	noshot
0.000	shot
0.713	noshot
0.719	noshot
