Similarity	Label
0.920	noshot
0.004	shot
0.838	noshot
0.925	noshot
0.737	noshot
0.736	noshot
0.924	noshot
0.000	shot
0.827	noshot
0.139	shot
0.228	shot
0.871	noshot
0.902	noshot
0.803	noshot
0.902	noshot
0.802	noshot
0.908	noshot
0.204	shot
0.863	noshot
0.920	noshot
0.942	noshot
0.000	shot
0.912	noshot
0.996	noshot
0.893	noshot
0.574	shot
0.881	noshot
0.738	noshot
0.750	noshot
0.763	noshot
0.842	noshot
0.915	noshot
0.863	noshot
0.975	noshot
0.795	noshot
0.363	shot
0.898	noshot
0.102	shot
0.625	noshot
0.329	shot
0.184	shot
0.000	shot
0.833	noshot
0.836	noshot
0.764	shot
0.922	noshot
0.842	noshot
0.142	shot
0.889	noshot
0.875	noshot
0.986	noshot
0.779	noshot
0.813	noshot
0.879	noshot
0.921	noshot
0.959	noshot
0.816	noshot
0.952	noshot
0.080	shot
0.947	noshot
0.254	shot
0.818	noshot
0.989	noshot
0.565	shot
0.000	shot
0.927	noshot
0.355	shot
0.444	shot
0.995	noshot
0.881	noshot
0.779	noshot
0.983	noshot
0.661	shot
0.941	noshot
0.745	noshot
0.880	noshot
0.932	noshot
0.971	noshot
0.803	noshot
0.358	shot
0.007	shot
0.903	noshot
0.838	noshot
0.993	noshot
0.949	noshot
0.000	shot
0.940	noshot
0.092	shot
0.944	noshot
0.915	noshot
0.770	noshot
0.981	noshot
0.872	noshot
0.922	noshot
0.993	noshot
0.983	noshot
0.736	noshot
0.705	shot
0.189	shot
0.796	noshot
0.811	noshot
0.247	shot
0.969	noshot
0.897	noshot
0.882	noshot
0.813	noshot
0.459	shot
0.847	noshot
0.162	shot
0.916	noshot
0.946	noshot
0.904	noshot
0.867	noshot
0.725	noshot
0.470	shot
0.671	noshot
0.330	shot
0.956	noshot
0.805	noshot
0.019	shot
0.157	shot
0.095	shot
0.908	noshot
0.869	noshot
0.935	noshot
0.932	noshot
0.699	noshot
0.951	noshot
0.921	noshot
0.715	noshot
0.749	noshot
0.245	shot
0.861	noshot
0.933	noshot
0.958	noshot
0.861	noshot
0.898	shot
0.524	shot
0.550	shot
0.961	noshot
0.475	shot
0.986	noshot
0.168	shot
0.928	noshot
0.792	noshot
0.759	noshot
0.221	shot
0.764	noshot
0.967	noshot
0.839	noshot
0.889	noshot
0.923	shot
0.537	shot
0.775	noshot
0.902	noshot
0.892	noshot
0.147	shot
0.253	shot
0.253	shot
0.108	shot
0.980	noshot
0.750	noshot
0.162	shot
0.780	noshot
0.802	noshot
0.725	shot
0.194	shot
0.990	noshot
0.979	noshot
0.979	noshot
0.843	noshot
0.138	shot
0.531	shot
0.846	noshot
0.136	shot
0.849	noshot
0.952	noshot
0.866	noshot
0.875	noshot
0.850	noshot
0.879	noshot
0.872	noshot
0.815	noshot
0.695	noshot
0.237	shot
0.957	noshot
0.141	shot
0.954	noshot
0.795	noshot
0.927	noshot
0.871	noshot
0.599	shot
0.995	noshot
0.963	noshot
0.939	noshot
0.986	noshot
0.843	shot
0.000	shot
0.895	noshot
0.296	shot
